Price,Open,High,Low,Close,Volume,MA20
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,
Date,,,,,,
2024-01-02,369.6637668979749,371.680878310716,362.6533489440639,366.70733642578125,25258600,
2024-01-03,364.86827930524817,369.0705777416299,364.3738912539091,366.4404296875,23083500,
2024-01-04,366.5096110262484,368.91232945000587,363.04889504674566,363.81024169921875,20901500,
2024-01-05,364.82871403903994,367.8840285269613,362.3864358970699,363.6224060058594,20987000,
2024-01-08,365.1550098059731,370.988813066157,364.86828645661416,370.4845275878906,23134000,
2024-01-09,367.83460167151895,371.76991118457596,367.0237980384077,371.5721740722656,20830000,
2024-01-10,372.14565492996707,379.85812659429405,372.0962281951205,378.47381591796875,25514200,
2024-01-11,381.6675761983364,386.29504112370273,376.1106593210736,380.3129577636719,27850800,
2024-01-12,381.1633298431019,384.31752835299,380.33276145139934,384.1098937988281,21645700,
2024-01-16,389.24164477659747,389.6074871447162,383.26942804485134,385.8896789550781,27202300,
2024-01-17,383.6253964652766,385.73146439966996,380.4909626708054,385.0986633300781,22234100,
2024-01-18,387.32338662433057,389.56789757510035,385.74133878224427,389.4492492675781,23392100,
2024-01-19,391.31800122328355,394.1953430175781,389.0833577969474,394.1953430175781,29272000,
2024-01-22,395.53021503062706,396.1234867411943,389.17239178292385,392.05963134765625,27016900,
2024-01-23,391.30815176623645,394.89741393072353,389.5085719753557,394.42279052734375,20525900,
2024-01-24,397.03314629680017,401.07723674810927,395.95538401589334,398.04168701171875,24867000,
2024-01-25,399.78199083712803,402.44180116533613,398.0120730325646,400.3258056640625,21021200,
2024-01-26,399.83139569486946,401.61121081981145,397.9131676038507,399.3963317871094,17803300,
2024-01-29,401.5024138062242,405.37842932819404,399.7918203197978,405.121337890625,24510200,
2024-01-30,407.6328499314226,408.4139613345208,401.8880631298829,404.0040283203125,33477600,384.6769165039062
2024-01-31,402.39234000988097,410.6585244475091,392.7517723927337,393.11761474609375,47871100,385.9974304199219
2024-02-01,397.3199212437322,403.42068358377554,397.2902591651768,399.248046875,30657700,387.6378112792969
2024-02-02,399.27768793699545,408.0184653335539,399.03049390369324,406.6045227050781,28245000,389.7775253295898
2024-02-05,405.29931376867506,406.54518129966755,399.4556434483769,401.0970153808594,25352300,391.65125579833983
2024-02-06,401.32441887303327,403.39095714951947,398.38775286433196,400.93878173828125,18382600,393.17396850585936
2024-02-07,402.8669448083425,409.6499345085534,402.82738531452173,409.4027404785156,22340500,395.06549682617185
2024-02-08,409.40274249689327,410.895804101699,407.89981364987307,409.4620666503906,21225300,396.61490936279296
2024-02-09,410.58927173757974,416.0967618057892,410.4310639420329,415.82977294921875,22032800,398.3907501220703
2024-02-12,415.83965259906256,416.01762504580444,410.09486617050925,410.5991516113281,21202900,399.7152130126953
2024-02-13,400.39500560681336,405.4674319451174,398.86241468639423,401.759521484375,27824900,400.50870513916016
2024-02-14,404.23602806912544,405.989387335356,400.7689119546156,405.6426696777344,20401200,401.535905456543
2024-02-15,404.30537605508795,405.2860649354581,400.49154229797136,402.7402038574219,21825500,402.20045318603513
2024-02-16,404.1270543842311,404.45397083978673,399.6495323619633,400.2637023925781,22281100,402.50387115478514
2024-02-20,399.451369143448,400.68962483118145,394.2705266937162,399.005615234375,24307900,402.8511703491211
2024-02-21,396.4102420513832,398.5103188921078,393.4879464924858,398.4013366699219,18631100,403.05009765625
2024-02-22,406.3361048933316,408.95128532759105,404.7313302719457,407.7823791503906,27009900,403.5371322631836
2024-02-23,411.76461952225566,411.9528065802778,405.1275567366277,406.48468017578125,16295900,403.8450759887695
2024-02-26,407.5941823661443,408.2876177161092,403.5326972396102,403.7110290527344,16193500,404.0608108520508
2024-02-27,404.1567991647498,404.4837156428337,400.0557114543386,403.651611328125,14835800,403.9873245239258
2024-02-28,404.3449824000404,405.45445472615467,401.51186772663095,403.8893127441406,13183100,403.98158874511716
2024-02-29,404.80069987993255,410.3084593316979,402.1062540147567,409.75372314453125,31947300,404.8133941650391
2024-03-01,407.4059232676718,411.96271025359846,407.01960321238755,411.59619140625,17800300,405.43080139160156
2024-03-04,409.5555314036571,413.42879866896584,408.44605918838874,411.0216369628906,17596000,405.6516571044922
2024-03-05,410.07071054436705,410.35799437018323,396.87587899957424,398.8669738769531,26919200,405.5401550292969
2024-03-06,399.1839316978577,401.35335816221044,394.6469759902315,398.31219482421875,22344100,405.40882568359376
2024-03-07,402.3043446808418,405.92996122894976,398.46079390642615,405.2959899902344,18718500,405.2034881591797
2024-03-08,404.1270542383835,406.56396338142315,400.5311546136932,402.4034118652344,17971700,404.8505554199219
2024-03-11,399.9665214154685,401.8684653107991,397.49000992509303,400.7193603515625,16120800,404.09503479003905
2024-03-12,403.79026068759885,411.66557971021905,402.96807213356095,411.3782958984375,22457000,404.13399200439454
2024-03-13,414.17182627227476,414.2510613457713,407.5843111404895,411.20001220703125,17115900,404.6060165405273
2024-03-14,416.2916924630243,423.8004927118293,414.06283197899603,421.22491455078125,34157300,405.3851287841797
2024-03-15,415.35059863846544,418.62949734684355,408.91166893317825,412.507568359375,45049800,405.87349700927734
2024-03-18,410.3579455831781,416.77707411837673,409.8923602232522,413.39910888671875,20106000,406.5302673339844
2024-03-19,413.90430223487067,417.7082504608342,411.6457249805596,417.45068359375,19837900,407.4525207519531
2024-03-20,418.0351385254577,421.95792425172124,416.7077319976527,421.23480224609375,17860100,408.59419403076174
2024-03-21,425.7915460992778,426.77226517382667,423.1466488448073,425.33587646484375,21296200,409.47186889648435
2024-03-22,425.6628247277611,425.8212948665726,422.0669250575301,424.7118225097656,17636500,410.3832260131836
2024-03-25,421.24466758284495,423.39429274982996,417.64876824294123,418.88702392578125,18060500,411.14202575683595
2024-03-26,421.6112012034168,421.9876357811286,417.3912462453885,417.68841552734375,16725600,411.8438659667969
2024-03-27,420.45224975865324,420.4621654792554,415.0732736405377,417.47052001953125,16705000,412.5229263305664
2024-03-28,417.0049168339557,417.9063706755069,415.1822079413489,416.7671813964844,21871200,412.87359924316405
2024-04-01,419.9668236498753,423.8698081123032,418.253066843913,420.58099365234375,16316000,413.3228393554688
2024-04-02,416.1628866591322,418.41157846327263,413.91422508584526,417.48040771484375,17912000,413.6457778930664
2024-04-03,415.7864888048433,419.2833219106777,415.1524873360607,416.4997253417969,16502300,414.5274154663086
2024-04-04,420.9970416568271,424.6424895808556,413.64677241260966,413.953857421875,19370900,415.3094985961914
2024-04-05,416.0638232237435,422.50275274464576,414.3896991298408,421.52203369140625,16544300,416.12080078125
2024-04-08,421.175397711729,423.26555903906655,419.3229415986936,420.600830078125,14272400,417.03067169189455
2024-04-09,422.43343322697575,423.72120713043927,417.65871174097106,422.2749328613281,12512300,418.1084503173828
2024-04-10,418.2233709862432,420.0460798769914,415.7567751324305,419.2833251953125,16216600,418.5037017822266
2024-04-11,421.8192626102262,425.33589688609106,418.39174889077384,423.909423828125,17966400,419.13917236328126
2024-04-12,420.0658901447868,421.1852782373019,415.82610344793704,417.93609619140625,19232100,418.9747314453125
2024-04-15,422.5919509817317,422.80988521460824,409.54567440120263,409.75372314453125,20273500,418.8370391845703
